epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.05111,4.02289,3.80501,2.53436,0.00333,0.02564,0.00174,0.00017,4.01074,3.68719,2.56044,0,0,0
2,6.52398,3.92519,3.76767,2.64844,0.00333,0.02564,0.00174,0.00017,3.95394,3.68098,2.50521,1.9604e-05,1.9604e-05,1.9604e-05
3,9.36816,4.53684,3.82083,2.66484,0.00333,0.02564,0.00174,0.00017,3.86176,3.67209,2.42615,3.8416e-05,3.8416e-05,3.8416e-05
4,11.9819,4.27876,3.78272,2.36494,0.00333,0.02564,0.00174,0.00035,3.75633,3.66741,2.34601,5.6436e-05,5.6436e-05,5.6436e-05
5,14.449,3.82789,3.73485,2.45707,0.00333,0.02564,0.00175,0.00017,3.56153,3.65964,2.24194,7.3664e-05,7.3664e-05,7.3664e-05
6,16.7797,4.24485,3.71632,2.35449,0.00333,0.02564,0.00172,0.00017,3.39908,3.64917,2.11077,9.01e-05,9.01e-05,9.01e-05
7,19.3911,3.9603,3.69368,2.44653,0.00333,0.02564,0.00175,0.00017,3.39924,3.63202,2.02666,0.000105744,0.000105744,0.000105744
8,22.245,3.95931,3.67365,2.26177,0.00333,0.02564,0.00175,0.00018,3.42072,3.64758,1.99953,0.000120596,0.000120596,0.000120596
9,24.7307,3.98788,3.57447,2.1128,0,0,0,0,3.65487,3.6514,2.03196,0.000134656,0.000134656,0.000134656
10,26.9287,3.68003,3.58934,2.24257,0.01,0.07692,0.00546,0.00123,3.92433,3.63084,2.06877,0.000147924,0.000147924,0.000147924
11,29.1345,3.67614,3.45113,2.07585,0.01,0.07692,0.00559,0.00145,4.16111,3.60956,2.11441,0.0001604,0.0001604,0.0001604
12,31.4468,3.57143,3.49006,2.08691,0.00667,0.05128,0.00362,0.00107,4.36954,3.56007,2.20235,0.000172084,0.000172084,0.000172084
13,33.7069,3.72564,3.33388,1.89994,0.01,0.07692,0.00545,0.00072,4.52089,3.54821,2.28629,0.000182976,0.000182976,0.000182976
14,35.9195,3.536,3.29787,1.8373,0.01,0.07692,0.00547,0.00107,4.56359,3.54419,2.36776,0.000193076,0.000193076,0.000193076
15,38.1087,3.46675,3.39178,2.00352,0.01333,0.10256,0.00739,0.00215,4.52975,3.56426,2.39345,0.000202384,0.000202384,0.000202384
16,40.3372,3.18308,3.23239,1.76542,0.01333,0.10256,0.00741,0.00216,4.50613,3.56261,2.41473,0.0002109,0.0002109,0.0002109
17,42.522,3.33654,3.0354,1.74894,0.01,0.07692,0.00539,0.00196,4.4785,3.55037,2.42602,0.000218624,0.000218624,0.000218624
18,44.5531,3.46761,3.26884,2.10209,0.01,0.07692,0.00539,0.00196,4.4785,3.55037,2.42602,0.000225556,0.000225556,0.000225556
19,46.8599,3.29218,3.04057,1.79515,0.01,0.07692,0.00544,0.0027,4.36393,3.52198,2.36111,0.000231696,0.000231696,0.000231696
20,48.9989,3.16595,3.01664,1.82818,0.01,0.07692,0.00544,0.0027,4.36393,3.52198,2.36111,0.000237044,0.000237044,0.000237044
21,51.427,3.43923,2.90027,1.59415,0.01333,0.10256,0.00737,0.0025,4.16733,3.4744,2.22339,0.0002416,0.0002416,0.0002416
22,53.5651,3.4364,3.08273,1.85343,0.01333,0.10256,0.00737,0.0025,4.16733,3.4744,2.22339,0.000245364,0.000245364,0.000245364
23,55.7764,3.3701,2.8121,1.73242,0.02333,0.17949,0.01462,0.00333,3.94936,3.38648,1.98423,0.000248336,0.000248336,0.000248336
24,57.9235,3.54338,2.66944,1.65589,0.02333,0.17949,0.01462,0.00333,3.94936,3.38648,1.98423,0.000250516,0.000250516,0.000250516
25,60.0988,3.36098,3.03679,1.99698,0.02,0.15385,0.01322,0.00411,3.87888,3.39285,1.99983,0.000251904,0.000251904,0.000251904
26,62.3146,3.10465,2.63143,1.60123,0.02,0.15385,0.01322,0.00411,3.87888,3.39285,1.99983,0.0002525,0.0002525,0.0002525
27,64.6119,3.29383,2.82898,1.78621,0.02,0.15385,0.01224,0.00382,3.86204,3.39894,2.03639,0.000252304,0.000252304,0.000252304
28,66.784,3.16213,2.60389,1.56668,0.02,0.15385,0.01224,0.00382,3.86204,3.39894,2.03639,0.000251316,0.000251316,0.000251316
29,68.9715,3.09794,2.76561,1.77099,0.02333,0.17949,0.01415,0.00272,3.8202,3.41288,2.05648,0.000249536,0.000249536,0.000249536
30,71.0545,3.09887,2.84698,1.78388,0.02333,0.17949,0.01415,0.00272,3.8202,3.41288,2.05648,0.000246964,0.000246964,0.000246964
31,73.3902,3.38772,2.38372,1.51979,0.02,0.15385,0.0126,0.00296,3.65779,3.38013,1.99262,0.0002436,0.0002436,0.0002436
32,75.5433,3.05682,2.48021,1.66957,0.02,0.15385,0.0126,0.00296,3.65779,3.38013,1.99262,0.000239444,0.000239444,0.000239444
33,77.8824,3.26505,2.44172,1.61034,0.03333,0.25641,0.02171,0.00534,3.55864,3.30325,1.92729,0.000234496,0.000234496,0.000234496
34,80.0076,3.11565,2.68022,1.78228,0.03333,0.25641,0.02171,0.00534,3.55864,3.30325,1.92729,0.000228756,0.000228756,0.000228756
35,82.2887,3.23223,2.4864,1.65916,0.02667,0.20513,0.02003,0.00337,3.57648,3.20156,1.93805,0.000222224,0.000222224,0.000222224
36,84.4413,3.26014,2.33777,1.58691,0.02667,0.20513,0.02003,0.00337,3.57648,3.20156,1.93805,0.0002149,0.0002149,0.0002149
37,86.6938,3.19629,2.27196,1.46604,0.03,0.23077,0.02291,0.00535,3.52932,3.10428,1.85985,0.000206784,0.000206784,0.000206784
38,88.7946,3.16561,2.46428,1.73999,0.03,0.23077,0.02291,0.00535,3.52932,3.10428,1.85985,0.000197876,0.000197876,0.000197876
39,91.1993,3.17637,2.31685,1.47372,0.03667,0.28205,0.03588,0.00751,3.47253,3.04887,1.84031,0.000188176,0.000188176,0.000188176
