epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7372,3.55368,4.168,2.23056,0.00095,0.03922,0.00052,0.00021,3.57277,3.93545,2.47583,2e-05,2e-05,2e-05
2,28.7724,3.80575,4.21366,2.32653,0.00095,0.03922,0.00052,0.00018,3.37725,3.91697,2.32645,5.8812e-05,5.8812e-05,5.8812e-05
3,40.7946,3.36894,4.16063,1.98027,0.00095,0.03922,0.00053,0.00018,3.28784,3.89099,2.24222,9.604e-05,9.604e-05,9.604e-05
4,53.3367,3.2977,3.91969,1.91435,0.00095,0.03922,0.00054,0.00021,3.14872,3.89252,2.12491,0.000131684,0.000131684,0.000131684
5,65.5315,3.14322,3.85232,1.81097,0.00095,0.03922,0.00054,0.00038,3.38441,3.94834,2.19729,0.000165744,0.000165744,0.000165744
6,78.4203,3.26484,3.62606,1.89517,0.0019,0.07843,0.00125,0.00037,3.29477,3.90111,2.05262,0.00019822,0.00019822,0.00019822
7,90.5926,3.3431,3.67666,1.95153,0.00143,0.05882,0.00089,0.00039,3.37155,3.92334,2.08168,0.000229112,0.000229112,0.000229112
8,102.542,3.12983,3.20297,1.73299,0.00095,0.03922,0.00055,0.00036,3.42584,3.89113,2.12249,0.00025842,0.00025842,0.00025842
9,114.715,3.18922,2.93447,1.71039,0.00143,0.05882,0.00089,0.00044,3.45502,3.86399,2.14361,0.000286144,0.000286144,0.000286144
10,127.231,3.20967,2.91442,1.71365,0.0019,0.07843,0.00128,0.00053,3.44237,3.82444,2.13696,0.000312284,0.000312284,0.000312284
11,139.872,3.17781,2.84235,1.66129,0.00333,0.13725,0.00269,0.00069,3.35301,3.77795,2.10772,0.00033684,0.00033684,0.00033684
12,151.785,3.0431,3.20473,1.69103,0.00429,0.17647,0.00386,0.00118,3.21546,3.70215,2.02867,0.000359812,0.000359812,0.000359812
13,164.03,3.12859,2.67821,1.68728,0.00524,0.21569,0.0051,0.00132,3.12922,3.65594,1.93234,0.0003812,0.0003812,0.0003812
14,176.911,3.12598,2.66773,1.70912,0.00619,0.2549,0.0065,0.00177,3.02574,3.5884,1.91176,0.000401004,0.000401004,0.000401004
